Model,R² Score,RMSE,MAE,MSE,MAPE (%)
Linear Regression,0.2827,0.8673,0.7264,0.7522,46.27
Ridge Regression,0.2825,0.8674,0.7263,0.7525,46.57
Lasso Regression,0.2029,0.9143,0.7398,0.8359,52.97
ElasticNet,0.213,0.9085,0.7349,0.8253,52.49
Decision Tree,1.0,0.0,0.0,0.0,0.0
Random Forest,0.9998,0.0141,0.002,0.0002,0.22
Gradient Boosting,1.0,0.0006,0.0003,0.0,0.02
XGBoost,1.0,0.0012,0.0006,0.0,0.03
LightGBM,0.9951,0.0715,0.0233,0.0051,1.71
AdaBoost,0.9697,0.1783,0.1249,0.0318,6.39
Extra Trees,1.0,0.0018,0.0004,0.0,0.01
SVR,0.9414,0.248,0.1913,0.0615,13.51
KNN,1.0,0.0049,0.0018,0.0,0.09
