category,base_rating,preference,visit_duration_minutes,personalized_rating
food,4.5,Couple,78.0,4.824791884150215
attraction,4.5,Family,117.0,4.752568249473808
attraction,4.4,Solo,72.0,4.656847179681726
attraction,4.4,Family,117.0,4.780986430382391
food,4.3,Solo,42.0,4.308769216160605
attraction,4.0,Family,117.0,4.278714636081514
hotel,4.6,Friends,30.0,4.57336925467685
attraction,4.3,Friends,108.0,4.452041653498318
food,4.5,Family,72.0,4.764654481511507
shopping,4.4,Friends,97.5,4.588419809449097
attraction,4.2,Family,117.0,4.4778751287815055
attraction,4.0,Friends,108.0,4.179187174107547
shopping,4.3,Solo,67.5,4.3537946311066875
shopping,4.2,Friends,97.5,4.395552069476727
shopping,4.3,Solo,67.5,4.425727580868372
attraction,4.5,Friends,108.0,4.782739199399278
hotel,4.6,Solo,30.0,4.544108432858324
attraction,4.4,Family,117.0,4.798114435258792
attraction,4.5,Friends,108.0,4.730236134368505
hotel,4.8,Family,30.0,4.749931920097197
hotel,4.7,Couple,30.0,4.649683618849966
shopping,4.3,Family,105.0,4.318543339448541
attraction,4.2,Solo,72.0,4.301480920831567
attraction,4.4,Solo,72.0,4.5933074808761765
food,4.3,Solo,42.0,4.3778779104040915
attraction,4.4,Couple,99.00000000000001,4.477833910557605
shopping,4.4,Couple,90.0,4.601588372607374
shopping,4.2,Family,105.0,4.313873413280544
attraction,4.6,Solo,72.0,4.828032513340039
shopping,4.2,Couple,90.0,4.448595431728353
hotel,4.7,Solo,30.0,4.775604896413949
attraction,4.2,Friends,108.0,4.364971868788177
attraction,4.6,Family,117.0,4.856334314613417
hotel,4.8,Family,30.0,4.76018504321566
hotel,4.8,Family,30.0,4.770101348040218
shopping,4.4,Family,105.0,4.444399100096871
hotel,4.8,Couple,30.0,4.81418173526082
shopping,4.5,Couple,90.0,4.642559249455297
attraction,4.3,Friends,108.0,4.4772009878111065
food,4.4,Solo,42.0,4.5146681763086045
shopping,4.2,Solo,67.5,4.274526821703084
food,4.2,Couple,78.0,4.573763829547482
attraction,4.5,Solo,72.0,4.610748289627008
hotel,4.7,Family,30.0,4.687583345698122
attraction,4.4,Friends,108.0,4.617628601083467
attraction,4.5,Friends,108.0,4.603738576323604
shopping,4.2,Solo,67.5,4.38845079717316
food,4.3,Family,72.0,4.528716339133974
attraction,4.1,Family,117.0,4.3205843688915335
food,4.4,Family,72.0,4.693446359539311
food,4.2,Couple,78.0,4.510871796868974
shopping,4.3,Family,105.0,4.4942026234232575
attraction,4.3,Couple,99.00000000000001,4.381825576511132
attraction,4.8,Couple,99.00000000000001,5.0
food,4.2,Friends,84.0,4.541125120372812
attraction,4.3,Solo,72.0,4.562057343820938
attraction,4.5,Couple,99.00000000000001,4.634492956626087
food,4.3,Couple,78.0,4.52980374919552
shopping,4.4,Solo,67.5,4.497260380281796
food,4.5,Friends,84.0,4.731177104311156
attraction,4.5,Friends,108.0,4.793467300498548
food,4.3,Family,72.0,4.4805234021991405
food,4.4,Family,72.0,4.590000839936443
attraction,4.8,Family,117.0,5.0
food,4.4,Couple,78.0,4.711043679368466
food,4.3,Friends,84.0,4.626624925061029
shopping,4.2,Family,105.0,4.2685015583467285
attraction,4.2,Solo,72.0,4.487787690091393
attraction,4.1,Solo,72.0,4.217158241883433
attraction,4.3,Family,117.0,4.628623775688368
shopping,4.3,Solo,67.5,4.546146868323033
shopping,4.5,Couple,90.0,4.615653888586851
hotel,4.9,Family,30.0,4.860919755569465
food,4.3,Couple,78.0,4.680038872684104
attraction,4.1,Couple,99.00000000000001,4.252604707988847
attraction,4.2,Family,117.0,4.42424413887622
attraction,4.5,Couple,99.00000000000001,4.6452710430812445
attraction,4.3,Solo,72.0,4.503104952289983
attraction,4.6,Couple,99.00000000000001,4.787192851982671
shopping,4.2,Couple,90.0,4.403334633443298
attraction,4.2,Friends,108.0,4.3161308296458705
food,4.3,Friends,84.0,4.465152169676951
hotel,4.7,Family,30.0,4.69775299735144
attraction,4.7,Solo,72.0,4.9755705082186195
attraction,4.5,Family,117.0,4.797690391694921
food,4.5,Solo,42.0,4.622434993185353
food,4.5,Family,72.0,4.717614554408724
attraction,4.5,Solo,72.0,4.730409098874751
shopping,4.4,Family,105.0,4.5388755574616
attraction,4.3,Solo,72.0,4.4134800359770665
food,4.4,Solo,42.0,4.485009712844176
shopping,4.2,Solo,67.5,4.442200593499448
attraction,4.2,Solo,72.0,4.315151895323134
attraction,4.6,Friends,108.0,4.786972215726958
attraction,4.4,Family,117.0,4.688241953775855
attraction,4.5,Family,117.0,4.834512907285877
shopping,4.4,Solo,67.5,4.5994440522317195
food,4.2,Solo,42.0,4.200144063330358
food,4.2,Friends,84.0,4.503243420955823
food,4.4,Couple,78.0,4.778470315196962
shopping,4.3,Solo,67.5,4.4311150096414735
hotel,4.7,Friends,30.0,4.667823006494779
attraction,4.5,Family,117.0,4.814397382759736
attraction,4.5,Couple,99.00000000000001,4.645639319432275
food,4.2,Couple,78.0,4.401887276082995
attraction,4.1,Couple,99.00000000000001,4.223138891483502
attraction,4.5,Friends,108.0,4.691685942929184
attraction,4.3,Family,117.0,4.6399264194345875
food,4.4,Couple,78.0,4.667996637133699
food,4.4,Solo,42.0,4.538765869137389
food,4.3,Family,72.0,4.402617388942554
attraction,4.6,Family,117.0,4.997095355200709
food,4.3,Couple,78.0,4.575636609149403
food,4.5,Couple,78.0,4.846409568323002
hotel,4.8,Friends,30.0,4.837347142896314
food,4.3,Couple,78.0,4.565675281567924
hotel,4.7,Solo,30.0,4.644951021302944
food,4.4,Friends,84.0,4.717470320895921
attraction,4.8,Friends,108.0,5.0
attraction,4.4,Couple,99.00000000000001,4.627786702574337
attraction,4.6,Friends,108.0,4.898325414444452
hotel,4.8,Solo,30.0,4.727083070546529
food,4.7,Couple,78.0,4.937296623850111
food,4.5,Friends,84.0,4.7338838033988
shopping,4.2,Solo,67.5,4.401269685936197
food,4.3,Family,72.0,4.450788848621338
shopping,4.3,Friends,97.5,4.641679312992092
attraction,4.3,Family,117.0,4.699244847855909
shopping,4.3,Family,105.0,4.347598864870006
shopping,4.2,Family,105.0,4.388711289307593
attraction,4.1,Family,117.0,4.414584377650195
shopping,4.5,Friends,97.5,4.737956297768423
attraction,4.0,Solo,72.0,4.227734403842568
hotel,4.8,Friends,30.0,4.8719793518119765
attraction,4.5,Solo,72.0,4.7474071748655735
food,4.6,Solo,42.0,4.750725808808758
attraction,4.3,Solo,72.0,4.4207250452819356
food,4.4,Friends,84.0,4.673559439169487
shopping,4.2,Couple,90.0,4.433048527553046
food,4.7,Family,72.0,4.930159561136795
attraction,4.6,Family,117.0,4.969742707651402
food,4.4,Family,72.0,4.643180916892145
shopping,4.3,Family,105.0,4.4101046525642635
hotel,4.8,Family,30.0,4.736448611563719
attraction,4.5,Solo,72.0,4.60784490894527
attraction,4.5,Solo,72.0,4.796647085633292
food,4.4,Friends,84.0,4.653073092671557
shopping,4.4,Solo,67.5,4.52669360006492
attraction,4.7,Friends,108.0,4.8388386685406495
food,4.2,Family,72.0,4.309837619765288
attraction,4.2,Friends,108.0,4.3022118304032935
attraction,4.5,Solo,72.0,4.701752232737867
hotel,4.7,Couple,30.0,4.777002815602207
attraction,4.4,Solo,72.0,4.65068385644513
food,4.2,Family,72.0,4.40396457140218
food,4.5,Friends,84.0,4.753239222807619
attraction,4.4,Solo,72.0,4.670039388801647
food,4.2,Solo,42.0,4.235463940843147
attraction,4.7,Family,117.0,5.0
attraction,4.7,Family,117.0,5.0
food,4.4,Family,72.0,4.690949645918369
shopping,4.2,Solo,67.5,4.370527317514512
food,4.3,Solo,42.0,4.412147509326124
shopping,4.2,Friends,97.5,4.484706153776379
attraction,4.7,Solo,72.0,4.94546268208159
food,4.3,Solo,42.0,4.393538993678695
shopping,4.3,Friends,97.5,4.50888116190474
attraction,4.5,Family,117.0,4.85437118789084
attraction,4.4,Friends,108.0,4.566102987999161
shopping,4.2,Friends,97.5,4.401585303430261
food,4.4,Friends,84.0,4.577629321308161
attraction,4.2,Family,117.0,4.548905456172002
attraction,4.5,Family,117.0,4.704893293774239
food,4.6,Couple,78.0,4.964582128368498
food,4.2,Solo,42.0,4.364426890577923
hotel,4.7,Couple,30.0,4.79342301611859
food,4.5,Couple,78.0,4.768688693050954
shopping,4.2,Family,105.0,4.348995173105485
food,4.3,Couple,78.0,4.512291399667654
attraction,4.6,Friends,108.0,4.738858223070868
food,4.2,Couple,78.0,4.501693635972424
attraction,4.2,Couple,99.00000000000001,4.447274124541339
hotel,4.8,Couple,30.0,4.828904102998091
hotel,4.8,Family,30.0,4.732191823626813
hotel,4.8,Friends,30.0,4.829049664937803
food,4.3,Family,72.0,4.480882973270672
attraction,4.5,Family,117.0,4.723836182069811
food,4.4,Friends,84.0,4.701998203766362
food,4.5,Couple,78.0,4.809660565432065
attraction,4.1,Solo,72.0,4.38568539532835
shopping,4.2,Friends,97.5,4.48148128012445
attraction,4.5,Friends,108.0,4.63029728361633
attraction,4.6,Friends,108.0,4.834810515090894
